ticker,company,date,open_inr,high_inr,low_inr,close_inr,volume,daily_return_pct
TCS.BSE,Tata Consultancy Services,2026-01-06,3211.1001,3259.0,3206.3999,3255.75,24666,1.2769465268920976
TCS.BSE,Tata Consultancy Services,2026-01-07,3247.2,3300.0,3230.5,3294.45,119941,1.188666205943334
TCS.BSE,Tata Consultancy Services,2026-01-08,3294.45,3294.45,3181.6001,3204.3,446517,-2.7364203433046352
TCS.BSE,Tata Consultancy Services,2026-01-09,3185.05,3229.3,3185.05,3208.0,161257,0.11546983740597927
TCS.BSE,Tata Consultancy Services,2026-01-12,3201.0,3250.0,3174.1001,3235.7,180366,0.8634663341645865
TCS.BSE,Tata Consultancy Services,2026-01-13,3265.0,3279.0,3210.3,3267.6001,266941,0.9858794078561051
TCS.BSE,Tata Consultancy Services,2026-01-14,3264.95,3264.95,3183.05,3192.3,428686,-2.3044466181770473
TCS.BSE,Tata Consultancy Services,2026-01-15,3192.3,3192.3,3192.3,3192.3,0,0.0
TCS.BSE,Tata Consultancy Services,2026-01-16,3215.05,3221.0,3172.2,3206.7,129233,0.4510854243022111
TCS.BSE,Tata Consultancy Services,2026-01-19,3185.55,3219.8999,3151.7,3163.0,197502,-1.3627716967599013
TCS.BSE,Tata Consultancy Services,2026-01-20,3152.0,3160.8999,3094.05,3108.05,588857,-1.737274739171668
TCS.BSE,Tata Consultancy Services,2026-01-21,3091.2,3137.25,3082.0,3121.3,183440,0.42631231801291136
TCS.BSE,Tata Consultancy Services,2026-01-22,3140.1001,3159.0,3121.55,3151.25,150626,0.9595360907314276
TCS.BSE,Tata Consultancy Services,2026-01-23,3152.1001,3193.75,3152.0,3160.8501,95171,0.3046441888139739
TCS.BSE,Tata Consultancy Services,2026-01-26,3160.8501,3160.8501,3160.8501,3160.8501,0,0.0
TCS.BSE,Tata Consultancy Services,2026-01-27,3161.2,3176.5,3131.0,3158.3999,164571,-0.07751712110612985
TCS.BSE,Tata Consultancy Services,2026-01-28,3160.1001,3205.0,3160.1001,3199.8501,144008,1.3123797274689597
TCS.BSE,Tata Consultancy Services,2026-01-29,3199.8501,3200.0,3126.55,3146.1001,194322,-1.6797661865473046
TCS.BSE,Tata Consultancy Services,2026-01-30,3146.0,3146.0,3092.3,3125.05,70775,-0.669085513204104
TCS.BSE,Tata Consultancy Services,2026-02-02,3188.05,3198.8,3133.55,3169.3,88371,1.4159773443624957
TCS.BSE,Tata Consultancy Services,2026-02-03,3320.8999,3336.7,3185.55,3223.7,176445,1.7164673587227286
TCS.BSE,Tata Consultancy Services,2026-02-04,3122.0,3122.0,2986.8501,2999.8,962707,-6.945435369296138
TCS.BSE,Tata Consultancy Services,2026-02-05,2998.95,3029.5,2970.3501,2992.05,387547,-0.25835055670377916
TCS.BSE,Tata Consultancy Services,2026-02-06,2992.0,2992.0,2915.1499,2941.45,388720,-1.6911482094216446
TCS.BSE,Tata Consultancy Services,2026-02-09,2979.95,2979.95,2935.0,2947.1001,64908,0.1920855360451501
TCS.BSE,Tata Consultancy Services,2026-02-10,2950.0,3011.0,2943.55,2984.25,468333,1.2605577937444323
TCS.BSE,Tata Consultancy Services,2026-02-11,2984.6499,2998.0,2905.0,2909.3999,149418,-2.508171232302925
TCS.BSE,Tata Consultancy Services,2026-02-12,2883.55,2883.55,2740.1499,2751.8999,715354,-5.413487503041436
TCS.BSE,Tata Consultancy Services,2026-02-13,2579.0,2712.3999,2579.0,2692.1499,796863,-2.1712272310486336
TCS.BSE,Tata Consultancy Services,2026-02-16,2700.0,2720.0,2671.5,2708.2,377663,0.59618151277534
TCS.BSE,Tata Consultancy Services,2026-02-17,2715.0,2759.3,2695.05,2717.45,343290,0.3415552765674512
TCS.BSE,Tata Consultancy Services,2026-02-18,2735.75,2735.75,2658.0,2694.6001,211740,-0.8408581574637863
TCS.BSE,Tata Consultancy Services,2026-02-19,2716.25,2748.0,2668.0,2680.45,181680,-0.5251280143573123
TCS.BSE,Tata Consultancy Services,2026-02-20,2676.95,2702.8501,2648.45,2686.6499,180374,0.23130071443226985
TCS.BSE,Tata Consultancy Services,2026-02-23,2686.6499,2704.45,2660.45,2675.8501,209954,-0.40198017612937953
TCS.BSE,Tata Consultancy Services,2026-02-24,2640.0,2648.7,2561.95,2574.5,403845,-3.787585111737013
TCS.BSE,Tata Consultancy Services,2026-02-25,2580.55,2653.45,2580.55,2629.5,275224,2.1363371528452024
TCS.BSE,Tata Consultancy Services,2026-02-26,2636.2,2670.0,2634.8,2647.7,180513,0.6921467959688066
TCS.BSE,Tata Consultancy Services,2026-02-27,2678.0,2688.2,2627.0,2636.3999,139073,-0.4267892888167091
TCS.BSE,Tata Consultancy Services,2026-03-02,2551.55,2623.7,2551.55,2613.2,103494,-0.8799841025635025
TCS.BSE,Tata Consultancy Services,2026-03-04,2595.05,2634.8,2580.3999,2587.3501,107842,-0.9892048063676606
TCS.BSE,Tata Consultancy Services,2026-03-05,2593.05,2610.8,2546.25,2583.5,207154,-0.1488047558774519
TCS.BSE,Tata Consultancy Services,2026-03-06,2575.0,2619.0,2555.0,2557.6499,104200,-1.0005844784207518
TCS.BSE,Tata Consultancy Services,2026-03-09,2530.0,2559.95,2505.55,2527.7,175882,-1.170992949425953
TCS.BSE,Tata Consultancy Services,2026-03-10,2545.0,2546.0,2490.3501,2513.3999,171908,-0.5657356490089804
TCS.BSE,Tata Consultancy Services,2026-03-11,2513.3501,2520.3501,2461.5,2465.1499,196083,-1.919710428889565
